Ticker,Buy_Date,Buy_Price,Sell_Date,Sell_Price,Profit%,%Below_Lower,Days_Held
A,2021-03-04,111.55438995361328,2021-03-15,120.33399200439452,7.870243434105985,-0.07797952265710166,11
A,2021-09-28,155.5627899169922,2021-10-20,153.50640869140625,-1.3218978823169834,-0.09151018674455162,22
ABNB,2021-05-06,153.63999938964844,2021-06-01,144.30999755859375,-6.072638549934347,-0.1474985147996647,26
ABT,2021-06-01,97.83283233642578,2021-06-21,103.05786895751952,5.340780284399795,-0.0654521401393538,20
ACGL,2021-06-18,35.2973518371582,2021-06-25,37.37031173706055,5.872848222341991,-0.04341786891478538,7
ADBE,2021-09-28,578.77001953125,2021-10-14,607.510009765625,4.9657012741696125,-0.11509648586858157,16
ADM,2021-06-17,55.482181549072266,2021-07-19,51.46861267089844,-7.233978127957985,0.004168872301035676,32
ADSK,2021-09-02,287.4700012207031,2021-09-24,294.6700134277344,2.5046134123412376,-0.08160929492655294,22
ADSK,2021-11-24,256.8999938964844,2021-12-17,277.6499938964844,8.077072982867033,-0.16072874734107492,23
AES,2021-05-06,21.69730567932129,2021-06-01,21.850759506225582,0.7072483061827495,-0.04930322787760071,26
AES,2021-07-19,20.10304069519043,2021-08-05,21.31841087341309,6.045703217988471,-0.07600453897343308,17
AFL,2021-06-18,47.46760559082031,2021-07-12,48.91678237915039,3.052980596540417,-0.034741591439443734,24
AIG,2021-06-18,42.81189727783203,2021-07-15,43.9267578125,2.6040904644635843,-0.05209620855510581,27
ALB,2021-02-18,134.45530700683594,2021-02-24,152.9326934814453,13.742400271095251,-0.08405326169317055,6
ALB,2021-09-20,206.1397247314453,2021-10-13,213.96517944335935,3.796189561283678,-0.057181799864347425,23
ALGN,2021-03-08,496.0700073242188,2021-03-15,558.8499755859375,12.655465425203039,-0.12075595315259692,7
ALGN,2021-09-28,677.3200073242188,2021-10-28,631.7999877929688,-6.720607547247683,-0.10496481374373154,30
ALL,2021-11-04,106.57042694091795,2021-12-06,100.6166000366211,-5.586753356630193,-0.02084483596558516,32
ALLE,2021-11-30,116.7983169555664,2021-12-06,124.3178482055664,6.438047607193395,-0.05571320164675627,6
AMAT,2021-05-12,110.7556610107422,2021-05-20,125.6317138671875,13.431415352216144,-0.10742161640670597,8
AMGN,2021-08-04,200.9122467041016,2021-09-02,200.3797149658203,-0.26505688280196155,-0.024765047372363437,29
AMP,2021-06-18,221.9799041748047,2021-07-02,235.3553771972656,6.025533289683734,-0.06134344040516622,14
AMP,2021-09-20,241.45361328125,2021-09-24,255.6689910888672,5.887415646606551,-0.05360559716884412,4
AMT,2021-03-03,178.4738006591797,2021-03-15,192.1775360107422,7.67828964304496,-0.11080930983043327,12
AMT,2021-09-28,239.8616180419922,2021-10-19,243.56558227539065,1.5442088082429342,-0.06966264346859634,21
AMT,2021-11-15,232.4984588623047,2021-12-03,238.2639923095703,2.479815769738162,-0.05883957869932633,18
AMZN,2021-07-30,166.37950134277344,2021-08-26,165.8000030517578,-0.3482990911372839,-0.0381316451167193,27
ANET,2021-02-22,18.26000022888184,2021-03-15,17.91437530517578,-1.8927980250481233,-0.10447842575730533,21
AON,2021-06-17,225.2936553955078,2021-07-19,219.4397125244141,-2.5983611748040576,0.0012728827219910957,32
APA,2021-07-19,15.286161422729492,2021-08-10,16.953495025634766,10.907470860709745,-0.09218542838389356,22
APA,2021-08-19,14.23168659210205,2021-08-25,16.126279830932617,13.312499727769305,-0.12044890464246541,6
APD,2021-02-04,229.94146728515625,2021-02-22,237.80621337890625,3.4203252621662754,-0.06900823035975599,18
APO,2021-03-09,41.656280517578125,2021-03-22,44.97822570800781,7.974656280288617,-0.07653625934263643,13
AVGO,2021-03-08,38.03352355957031,2021-03-15,42.50454711914063,11.755480799898917,-0.09523929183920712,7
AVY,2021-11-30,193.18687438964844,2021-12-27,200.18630981445312,3.6231423314438898,-0.050014062640654895,27
AWK,2021-02-25,134.09439086914062,2021-03-22,128.9474639892578,-3.838286483515608,-0.07417141151485263,25
AXON,2021-05-06,130.86000061035156,2021-05-26,136.05999755859375,3.9737100137464365,-0.14417943079778817,20
AXON,2021-12-03,151.41000366210938,2021-12-21,156.6999969482422,3.493820195618054,-0.1738458163769344,18
AXP,2021-11-26,149.52198791503906,2021-12-08,161.0684356689453,7.722240665009843,-0.1309639827823492,12
BA,2021-07-19,206.9900054931641,2021-07-28,231.57000732421875,11.874970374773202,-0.09510785669243246,9
BAC,2021-06-18,35.05847930908203,2021-06-25,37.62593078613281,7.323339539104519,-0.06448978158827146,7
BBY,2021-02-26,83.19044494628906,2021-03-12,92.0110321044922,10.602884939367794,-0.14921513732280348,14
BBY,2021-11-30,90.25899505615234,2021-12-30,86.3561782836914,-4.32401975009017,-0.0608212308490262,30
BEN,2021-07-19,23.49705696105957,2021-08-03,25.248239517211918,7.452774017846105,-0.08658164164713564,15
BEN,2021-09-20,24.475418090820312,2021-09-24,26.029281616210938,6.348669998709493,-0.057072626670975776,4
BG,2021-06-17,70.10392761230469,2021-07-19,66.3026351928711,-5.422367260869972,-0.00043129825339374944,32
BG,2021-12-01,76.85787963867188,2021-12-21,80.29643249511719,4.47391064209787,-0.05881683548009622,20
BIIB,2021-09-09,300.1499938964844,2021-10-11,285.5899963378906,-4.850907164640889,-0.034321167263796755,32
BKR,2021-06-18,20.46078872680664,2021-07-19,17.735090255737305,-13.321570871304047,0.0349111314053605,31
BKR,2021-11-19,20.675233840942383,2021-12-06,22.3897647857666,8.29267982173434,-0.0792796039708922,17
BMY,2021-11-29,47.03878021240234,2021-12-08,49.587005615234375,5.417286314240283,-0.06610034911816744,9
BSX,2021-11-26,38.56999969482422,2021-12-06,40.70000076293945,5.522429569531636,-0.07603173798859816,10
BXP,2021-11-30,87.60087585449219,2021-12-07,93.56333923339844,6.806396991749362,-0.0753639823234772,7
C,2021-06-16,61.06488800048828,2021-07-16,57.16822052001953,-6.381191562060332,-0.010921657555363451,30
CAH,2021-05-06,50.79422378540039,2021-06-04,50.81219100952149,0.035372573458372476,-0.02821982280800384,29
CAH,2021-08-05,45.82288360595703,2021-08-31,47.562644958496094,3.79670857796669,-0.07580962976825853,26
CARR,2021-09-21,48.896034240722656,2021-10-14,50.14468002319336,2.553674959248083,-0.05171512054436461,23
CAT,2021-06-10,207.8778533935547,2021-07-09,200.22509765625,-3.6813713497495466,-0.038238068910591526,29
CAT,2021-09-20,176.6718292236328,2021-10-14,179.92153930664062,1.8394047864270993,-0.03676435086420354,24
CB,2021-06-18,146.7320098876953,2021-07-07,152.3375701904297,3.820270919088969,-0.041097254624369424,19
CB,2021-11-30,169.5389404296875,2021-12-08,178.69273376464844,5.39922764160324,-0.06087768617293482,8
CCI,2021-03-03,120.55037689208984,2021-03-12,129.90640258789062,7.761092032234614,-0.0966399180333021,9
CCL,2021-11-26,17.950000762939453,2021-12-20,18.899999618530277,5.292472508147426,-0.13041850396219773,24
CDNS,2021-03-08,119.68000030517578,2021-03-26,132.5800018310547,10.778744562988626,-0.11678802003975125,18
CDNS,2021-09-28,152.47000122070312,2021-10-14,157.3300018310547,3.187512672290612,-0.08315046079130282,16
CF,2021-07-19,42.24055862426758,2021-08-10,43.940460205078125,4.024334990290441,-0.06148770745057286,22
CFG,2021-06-18,36.78779983520508,2021-07-12,38.13461685180664,3.6610425810588696,-0.04983120072642606,24
CFG,2021-07-19,34.25215148925781,2021-08-06,36.88726425170898,7.693276620236808,-0.06693944337048888,18
CHTR,2021-12-01,634.2000122070312,2021-12-17,650.0,2.491325684145671,-0.08054041072154143,16
CI,2021-02-04,189.90109252929688,2021-02-23,196.64161682128903,3.5494921078204267,-0.06025756776406645,19
CI,2021-08-05,192.24038696289065,2021-08-31,197.3118438720703,2.6380808888813947,-0.05589564286649955,26
CI,2021-11-26,189.2158050537109,2021-12-08,196.07861328125,3.6269740921436298,-0.08315381605617296,12
CLX,2021-08-03,145.51202392578125,2021-08-30,147.9777374267578,1.6945084223652922,-0.03101927531220248,27
CMCSA,2021-09-14,49.51886749267578,2021-10-06,50.909950256347656,2.8091974516130174,-0.05123121710687498,22
CMCSA,2021-10-11,46.722633361816406,2021-11-05,48.225772857666016,3.2171549154976242,-0.048123457151061276,25
CME,2021-08-18,166.38316345214844,2021-09-17,159.6045684814453,-4.074087083127638,-0.01649138860385512,30
CMI,2021-06-17,214.4818420410156,2021-07-09,219.3348388671875,2.2626609227105856,-0.04622421899195569,22
CMI,2021-11-30,191.94126892089844,2021-12-27,197.852783203125,3.0798557889407183,-0.04145832437314625,27
CNC,2021-09-10,59.72999954223633,2021-09-17,64.63999938964844,8.220324602447295,-0.06635004074559772,7
CNP,2021-02-25,17.684473037719727,2021-03-08,18.63360977172852,5.367062575086921,-0.08081209290380893,11
COF,2021-10-27,142.20379638671875,2021-11-23,146.29644775390625,2.8780183589878736,-0.04189586297464432,27
COF,2021-11-30,131.544189453125,2021-12-10,140.79244995117188,7.03053516578354,-0.07773042395979908,10
COIN,2021-05-19,224.8000030517578,2021-06-14,239.1000061035156,6.361211235600099,-0.09670107049566964,26
COIN,2021-12-03,265.6499938964844,2021-12-27,280.2699890136719,5.503480313605602,-0.20315001457042597,24
COP,2021-07-19,46.41953659057617,2021-08-06,49.21334457397461,6.01860377892187,-0.054444240418819595,18
CPAY,2021-05-12,268.0199890136719,2021-06-01,276.6000061035156,3.2012601453416516,-0.05333345532532501,20
CPB,2021-06-09,39.766971588134766,2021-07-07,39.905548095703125,0.3484713621233011,-0.020530649620947573,28
CRM,2021-02-26,214.619384765625,2021-03-23,213.1324157714844,-0.6928400227055167,-0.07677485589429835,25
CRM,2021-12-01,249.31536865234372,2021-12-31,251.92251586914065,1.0457226246780047,-0.030963954879252367,30
CRWD,2021-03-04,192.9900054931641,2021-04-05,186.6199951171875,-3.3006944373615363,-0.09136956312254922,32
CRWD,2021-11-15,254.1499938964844,2021-12-15,210.7100067138672,-17.092263712707535,-0.18084277270264149,30
CSGP,2021-02-24,83.62300109863281,2021-03-15,83.78600311279297,0.19492485562422757,-0.12034784905439391,19
CTRA,2021-06-18,12.186246871948242,2021-06-25,13.370688438415527,9.719494270165937,-0.07249236137446444,7
