Ticker,Buy_Date,Buy_Price,Sell_Date,Sell_Price,Profit%,%Below_Lower,Days_Held
CHRW,2022-02-02,84.74830627441406,2022-02-24,88.10014343261719,3.9550491396841774,-0.14968860151826938,22
NTAP,2022-02-24,72.79522705078125,2022-03-11,77.21122741699219,6.066332292816915,-0.12099344797122981,15
CLX,2022-03-11,117.04637145996094,2022-03-28,124.66301727294922,6.50737457127731,-0.09396296301353715,17
SMCI,2022-03-31,3.806999921798706,2022-04-19,4.465000152587891,17.283957034553783,-0.28078979203032073,19
PARA,2022-04-20,30.57109642028809,2022-05-17,29.796680450439453,-2.5331638721819143,-0.20213065517279238,27
WMT,2022-05-17,42.05317306518555,2022-06-16,38.61785507202149,-8.168986411177718,-0.03159443638697566,30
PHM,2022-06-16,35.28836441040039,2022-07-01,41.077335357666016,16.404758463555954,-0.1681576368021094,15
DELL,2022-07-01,39.59568786621094,2022-07-21,41.68583679199219,5.278728665716357,-0.1253552238463334,20
T,2022-07-21,15.869531631469728,2022-08-16,15.575966835021973,-1.849864276180706,-0.06129555872381992,26
KMX,2022-08-22,89.86000061035156,2022-09-21,81.05999755859375,-9.793014680598702,0.0027830627032173266,30
HOLX,2022-09-21,62.88999938964844,2022-10-03,66.12000274658203,5.135957049262185,-0.06861887780867494,12
TSLA,2022-10-03,242.3999938964844,2022-10-28,228.5200042724609,-5.72606847092202,-0.12249019299744478,25
EW,2022-10-28,70.87000274658203,2022-11-18,75.04000091552734,5.884010169798429,-0.1666285163661786,21
VLO,2022-12-05,111.002197265625,2022-12-23,114.13146209716795,2.8191017012525577,-0.10792442825581497,18
