Ticker,Buy_Date,Buy_Price,Sell_Date,Sell_Price,Profit%,%Below_Lower,Days_Held
A,2016-02-08,32.253028869628906,2016-02-16,34.36616134643555,6.551733436720649,-0.05729947047911351,8
A,2016-06-27,39.28038787841797,2016-07-08,42.3847541809082,7.903094827115703,-0.06400253714600722,11
AAPL,2016-04-27,22.221736907958984,2016-05-20,21.76279830932617,-2.0652687975458917,-0.08228223241716627,23
ABBV,2016-10-28,39.75807189941406,2016-11-09,43.23689651489258,8.74998320914497,-0.12293084472220578,12
ABT,2016-04-29,32.767822265625,2016-05-25,32.58250427246094,-0.565548700984227,-0.049144298262046776,26
ACN,2016-06-24,96.08181762695312,2016-07-11,99.53887939453124,3.5980395177373565,-0.05755207356482346,17
ADBE,2016-02-05,79.19999694824219,2016-02-22,83.80000305175781,5.808088738338923,-0.14321734994677587,17
ADI,2016-06-27,44.12255096435547,2016-06-30,47.55663299560547,7.78305414395517,-0.048557720812413815,3
ADM,2016-06-27,30.0507869720459,2016-06-30,32.92995834350586,9.58101820806972,-0.07166526533967929,3
ADP,2016-07-29,73.46720886230469,2016-08-23,74.31793975830078,1.157973617305333,-0.033987330425970644,25
ADSK,2016-06-27,50.540000915527344,2016-07-08,55.13999938964844,9.101698438449853,-0.08295640445038889,11
AEP,2016-04-21,44.83573913574219,2016-05-04,47.08976745605469,5.027302691471929,-0.05416203804608646,13
AIG,2016-06-27,38.85943984985352,2016-07-08,42.220516204833984,8.649317560847782,-0.06935747333829831,11
AIZ,2016-02-10,54.67165756225586,2016-02-26,60.47377014160156,10.612651670088301,-0.14236958681109582,16
AIZ,2016-10-19,70.34766387939453,2016-11-10,70.21308135986328,-0.19131057395449694,-0.10299707897160049,22
AJG,2016-06-27,37.93882369995117,2016-06-30,40.98702239990234,8.034510305481843,-0.05997183628579265,3
AKAM,2016-02-08,40.97999954223633,2016-02-10,47.959999084472656,17.032697950721893,-0.1506727453140738,2
AKAM,2016-07-27,50.5099983215332,2016-08-17,52.34000015258789,3.623048687124048,-0.11466459351966501,21
ALB,2016-09-09,68.12295532226562,2016-09-21,71.3926010131836,4.799623967354955,-0.07063746862893558,12
ALB,2016-11-14,68.62378692626953,2016-11-17,73.86759948730469,7.64139199527008,-0.05452259149121865,3
ALGN,2016-10-26,84.5199966430664,2016-11-08,88.79000091552734,5.052063939961393,-0.06722627192023395,13
ALLE,2016-02-08,48.02556228637695,2016-02-16,52.250244140625,8.796735848830302,-0.07712314596457209,8
ALLE,2016-06-27,57.389766693115234,2016-06-29,60.9665412902832,6.232425749862922,-0.03957684021342387,2
ALLE,2016-09-09,59.90874862670898,2016-09-27,61.910491943359375,3.341320529198911,-0.06179478194040554,18
ALLE,2016-10-27,56.43247604370117,2016-11-08,59.00983047485352,4.567147521856836,-0.0575954143986954,12
AMAT,2016-06-27,20.13372611999512,2016-06-30,21.65120887756348,7.537018972664594,-0.0520248930783414,3
AMD,2016-09-09,5.900000095367432,2016-09-27,6.539999961853027,10.847455188824682,-0.1850073979627129,18
AMGN,2016-10-28,111.63076782226562,2016-11-10,116.54411315917967,4.401425729452022,-0.14426654838911981,13
AMP,2016-06-24,75.33440399169922,2016-07-12,78.05674743652344,3.6136788778791993,-0.12563032273119812,18
AMP,2016-10-26,74.94558715820312,2016-11-09,85.5553970336914,14.156683906007656,-0.18250876753424092,14
AMT,2016-11-10,85.52535247802734,2016-12-12,84.05287170410156,-1.7216892199352025,-0.03955733579804065,32
AMZN,2016-02-05,25.10650062561035,2016-02-22,27.975000381469727,11.425326845164987,-0.18377948897014915,17
AMZN,2016-10-28,38.81600189208984,2016-11-21,39.0,0.47402642967116,-0.08579394490522582,24
ANET,2016-02-08,3.372499942779541,2016-02-17,3.7412500381469727,10.93402821716628,-0.12433078021657555,9
ANET,2016-06-24,4.165625095367432,2016-07-11,4.362500190734863,4.7261837265762425,-0.14692263552983528,17
AON,2016-06-27,92.43408966064452,2016-06-30,100.16442108154295,8.363074109648277,-0.05866688209462347,3
AOS,2016-10-26,39.03842544555664,2016-11-09,41.03044891357422,5.102724931351735,-0.09963619785744217,14
APA,2016-11-03,44.727577209472656,2016-11-15,51.06775665283203,14.175101445057964,-0.13518764129224597,12
APD,2016-06-27,99.6041030883789,2016-07-08,107.31983947753906,7.7464041640071475,-0.06216065809636892,11
APTV,2016-06-24,49.98674774169922,2016-07-08,52.2255744934082,4.478840598467947,-0.10592825346922474,14
AVGO,2016-06-27,11.091076850891112,2016-07-08,11.979877471923828,8.013654877536135,-0.05884690703287694,11
AVGO,2016-09-09,12.415393829345703,2016-09-15,13.377629280090332,7.750341744860616,-0.06016146325527989,6
AVY,2016-06-27,60.539154052734375,2016-07-18,62.83779144287109,3.7969433602167904,-0.050898429481803814,21
AVY,2016-10-26,60.73341751098633,2016-11-17,61.57217788696289,1.381052491941254,-0.06832384453617608,22
AXON,2016-08-31,27.07999992370605,2016-09-21,27.56999969482422,1.809452631088148,-0.13157541698211703,21
BA,2016-02-11,98.15257263183594,2016-02-25,105.7375946044922,7.727787228876007,-0.06261937394648269,14
BAC,2016-02-11,9.060338020324709,2016-02-26,10.310602188110352,13.799310411829813,-0.12223772080875579,15
BAC,2016-06-27,9.95973300933838,2016-07-11,10.801977157592772,8.456493235960155,-0.061438560654339544,14
BG,2016-02-11,36.11156845092773,2016-03-03,41.14631271362305,13.942192152459592,-0.1634791160285756,21
BK,2016-06-24,29.80944061279297,2016-07-12,30.89228057861328,3.632540374996513,-0.08970911907450403,18
