Ticker,Buy_Date,Buy_Price,Sell_Date,Sell_Price,Profit%,%Below_Lower,Days_Held
A,2019-04-17,72.12027740478516,2019-05-03,75.81092071533203,5.117344862433935,-0.06854221847376991,16
A,2019-05-15,64.6720962524414,2019-06-07,66.46958923339844,2.779394955655508,-0.08856001053073588,23
AAPL,2019-05-13,44.60087203979492,2019-06-06,44.48079681396485,-0.26922169979756105,-0.08200200855610146,24
ABBV,2019-06-25,50.0911979675293,2019-07-25,51.59811401367188,3.0083449933048434,-0.010512983419364035,30
ABT,2019-04-17,65.33656311035156,2019-04-25,70.02519989013672,7.176130112424469,-0.05591296540698425,8
ADBE,2019-06-03,259.0299987792969,2019-06-06,274.79998779296875,6.088093691074171,-0.04037329973039958,3
ADBE,2019-08-05,280.3599853515625,2019-08-27,289.45001220703125,3.242269699818305,-0.03727681467618172,22
ADI,2019-05-13,92.85771942138672,2019-06-07,90.20043182373048,-2.86167656734871,-0.07800832189292173,25
ADM,2019-08-05,31.771089553833008,2019-08-29,32.02814865112305,0.8090975188448528,-0.04199009799122527,24
ADSK,2019-07-31,156.1699981689453,2019-08-27,150.2100067138672,-3.816348546428606,-0.0673656984823332,27
AES,2019-08-06,12.684148788452148,2019-08-30,12.385224342346191,-2.35667722833796,-0.06093198929872472,24
AFL,2019-08-21,42.664649963378906,2019-09-05,44.53743362426758,4.3895441835247,-0.06479265665241565,15
AIG,2019-02-14,33.90190505981445,2019-02-20,36.516876220703125,7.713345772973455,-0.04615768581592094,6
AJG,2019-08-05,80.22643280029297,2019-08-19,84.02201080322266,4.731081602964935,-0.04121370546416888,14
ALB,2019-04-25,68.86507415771484,2019-05-28,62.02181243896485,-9.937202279166286,-0.053329758687642274,33
ALB,2019-08-05,60.47211837768555,2019-08-08,67.94214630126953,12.352846442271243,-0.10193705278357411,3
ALGN,2019-05-31,284.3500061035156,2019-06-10,315.0299987792969,10.789517150427777,-0.10108319307214017,10
ALGN,2019-07-25,200.8999938964844,2019-08-26,175.19000244140625,-12.79740778306119,-0.07060838893698047,32
AMAT,2019-05-13,36.63306427001953,2019-05-17,40.01617431640625,9.23512710116214,-0.07684237901955325,4
AMD,2019-08-01,29.86000061035156,2019-08-08,33.91999816894531,13.596776542550623,-0.1719184720898558,7
AME,2019-08-05,80.77879333496094,2019-08-29,82.72908020019531,2.414355036410644,-0.03891045601716343,24
AMP,2019-08-01,125.5091552734375,2019-08-29,115.47492218017578,-7.99482162986507,-0.05936368161613112,28
AMT,2019-10-28,181.11459350585935,2019-11-18,184.191162109375,1.6986861985895805,-0.06429227028255197,21
AMZN,2019-06-03,84.6344985961914,2019-06-10,93.03150177001952,9.92148983346843,-0.0820276881186644,7
AMZN,2019-08-05,88.25650024414062,2019-09-04,90.03099822998047,2.010614494038532,-0.03122625021465232,30
ANET,2019-05-03,17.400625228881836,2019-06-03,15.085000038146973,-13.307712569381424,-0.022365455872542187,31
ANET,2019-08-02,15.25749969482422,2019-08-29,14.213125228881836,-6.844990901731207,-0.061314018996776874,27
ANET,2019-11-01,11.581250190734863,2019-11-27,12.225000381469728,5.558555252090771,-0.12436452264432253,26
AON,2019-03-05,149.05862426757812,2019-03-15,161.14450073242188,8.108136328393956,-0.059997462026320454,10
AON,2019-08-05,174.53086853027344,2019-08-16,182.39784240722656,4.507497122543999,-0.04148217037807426,11
APA,2019-05-02,25.41745376586914,2019-06-03,22.95081329345703,-9.704514445598573,-0.055235205113184825,32
APA,2019-07-18,20.100095748901367,2019-08-19,18.89236640930176,-6.008575056990054,-0.0942919948578608,32
APA,2019-10-08,17.468976974487305,2019-10-21,19.86419486999512,13.71126597170475,-0.16404487856148103,13
APA,2019-12-02,17.0463924407959,2019-12-12,19.227352142333984,12.794259601336835,-0.1807710289141804,10
APH,2019-08-05,20.334203720092773,2019-08-29,20.66677665710449,1.6355345977137572,-0.04103422408219123,24
