Ticker,Buy_Date,Buy_Price,Sell_Date,Sell_Price,Profit%,%Below_Lower,Days_Held
ELV,2020-01-30,247.7550506591797,2020-02-12,275.81134033203125,11.324204934754995,-0.12892985227196013,13
HII,2020-02-13,220.5900421142578,2020-03-16,138.6906280517578,-37.12743026726429,0.06500662445828846,32
DXCM,2020-03-16,50.57500076293945,2020-03-26,62.5525016784668,23.682650983377272,-0.28155844667863944,10
IVZ,2020-04-23,5.727481365203857,2020-05-26,6.531907081604004,14.045016737850439,-0.18940974101985403,33
PFE,2020-06-01,26.29572105407715,2020-07-01,25.02023696899414,-4.85053854374244,-0.08476545622918598,30
D,2020-07-06,59.240020751953125,2020-07-17,63.25697708129883,6.78081519614131,-0.09989870621020135,11
FE,2020-07-21,27.661821365356445,2020-08-20,23.217683792114254,-16.065961508984405,-0.013084092133337452,30
PANW,2020-09-03,40.36833190917969,2020-09-28,40.9900016784668,1.5399937027017525,-0.06487738680491041,25
EQT,2020-09-29,12.133869171142578,2020-10-07,13.35292625427246,10.046730073776535,-0.11826401016129706,8
VRTX,2020-10-15,215.27999877929688,2020-11-09,222.8500061035156,3.5163542210809027,-0.18795248097681005,25
EXR,2020-11-09,89.63489532470703,2020-11-10,96.8362274169922,8.034072072263791,-0.04656559372770023,1
AEP,2020-11-18,71.18933868408203,2020-12-15,71.32473754882812,0.1901954242712596,-0.032654782130553,27
